0,"RT @waterloosuze: Anything from Walensky is to be taken with grain of salt 

EXCLUSIVE: CDC Claims Link Between Heart Inflammation and COVI…",0,14,2022-08-03 17:00:27+00:00
1,RT @B52Malmet: Missouri Republicans said no to creepy Greitens but yes to AG Schmitt as a candidate for Senate. Schmitt attempted to get th…,0,250,2022-08-03 17:00:27+00:00
2,RT @FoodEthicist: @Jacob_Rees_Mogg Can you look into a Cornish company with two employees being handed a £70 billion Net Zero contract by t…,0,22,2022-08-03 17:00:26+00:00
3,"Join #CovidRoundsCA on 8/9 to hear about the state of COVID-19 in California, including variants, treatments &amp; vaccine epidemiology. Also, learn about pediatric vaccines and new vaccine technology.
 
Registration is free: https://t.co/mwYIsBrGqb https://t.co/VBRhe8MPmX",0,0,2022-08-03 17:00:26+00:00
4,Dolly Parton’s $1 million donation to Vanderbilt University Medical Center in 2020 received plenty of attention once it yielded the Moderna COVID-19 vaccine. https://t.co/joKEeFlvXi,0,0,2022-08-03 17:00:26+00:00
5,RT @PaulMitchell_AB: When the pharmaceutical industry develops a modified booster which purportedly has improved performance against varian…,0,315,2022-08-03 17:00:25+00:00
6,"RT @nefj94: Taiwan is a country 🇹🇼
Covid 19 made in china .",0,20877,2022-08-03 17:00:25+00:00
7,"RT @BNNBreaking: JUST IN: Novavax's COVID-19 vaccine should be listed a warning of the possibility of two types of heart inflammation, myoc…",0,7,2022-08-03 17:00:24+00:00
8,"RT @nefj94: Taiwan is a country 🇹🇼
Covid 19 made in china .",0,20877,2022-08-03 17:00:23+00:00
9,"RT @MadiBoity: Greetings President @CyrilRamaphosa,

You deployed the army to ground South Africans in their home because of Covid-19, and…",0,41,2022-08-03 17:00:22+00:00
10,"RT @Covid19Place: Malaysia: Wed, 03 Aug - Covid19 Update
https://t.co/BqoMIR4Dne
LIVE WORLD UPDATES!
@Khairykj @DGHisham @KKMPutrajaya @JPe…",0,26,2022-08-03 17:00:22+00:00
11,"RT @mattbc: .@HHSGov has released two documents on #LongCovid

Services and Supports for Longer-Term Impacts of COVID-19 Report: https://t.…",0,4,2022-08-03 17:00:21+00:00
12,"RT @nefj94: Taiwan is a country 🇹🇼
Covid 19 made in china .",0,20877,2022-08-03 17:00:21+00:00
13,RT @RobertKennedyJr: More than 130 U.S. Coast Guard members filed a class action lawsuit alleging the religious exemptions they filed in re…,0,155,2022-08-03 17:00:20+00:00
14,"3,166 active COVID-19 cases statewide, six deaths reported https://t.co/2aiMPWZUZx",0,0,2022-08-03 17:00:20+00:00
15,"The Governor thanked workers in the State for displaying maturity in resolving issues, stressing that the challenges faced by this government since the outbreak of the COVID-19 pandemic have been enormous. https://t.co/PqDbKah45i",0,0,2022-08-03 17:00:18+00:00
16,"RT @soundsproject_: Not only the promoters, but the venue also affected by covid-19 pandemic, via Musicverse Live Road To The Sounds Projec…",0,121,2022-08-03 17:00:18+00:00
17,"RT @lesleymacniven: @BylinesScotland launch 🚀 today includes a *new* piece written by me 

Pl follow Scotland’s new independent media platf…",0,24,2022-08-03 17:00:17+00:00
